timestamp,bitcoin_usd,ethereum_usd
2025-06-03 22:58:58,106363,2639.3,0.197042,161.79
2025-06-03 22:59:08,106363,2639.3,0.197042,161.79
2025-06-03 22:59:19,106363,2639.3,0.197042,161.79
2025-06-03 22:59:30,106363,2639.3,0.197042,161.79
2025-06-03 22:59:40,106363,2639.3,0.197042,161.79
2025-06-03 22:59:51,106442,2640.86,0.197054,161.84
2025-06-03 23:00:02,106442,2640.86,0.197054,161.84
2025-06-03 23:00:13,106442,2640.86,0.197054,161.84
2025-06-03 23:00:23,106442,2640.86,0.197054,161.84
2025-06-03 23:00:34,0,0,0,0
2025-06-03 23:00:45,0,0,0,0
2025-06-03 23:00:55,0,0,0,0
2025-06-03 23:01:06,0,0,0,0
2025-06-03 23:01:17,0,0,0,0
2025-06-03 23:01:27,0,0,0,0
2025-06-03 23:01:38,106547,2641.42,0.197192,162.02
2025-06-03 23:01:49,106547,2641.42,0.197192,162.02
2025-06-03 23:02:00,106547,2641.42,0.197192,162.02
2025-06-03 23:02:11,106547,2641.42,0.197192,162.02
2025-06-03 23:02:21,106547,2641.42,0.197192,162.02
2025-06-03 23:02:32,106547,2641.42,0.197192,162.02
2025-06-03 23:02:43,106559,2641.75,0.197284,162.03
2025-06-03 23:02:53,0,0,0,0
2025-06-03 23:03:04,0,0,0,0
2025-06-03 23:03:15,0,0,0,0
2025-06-03 23:03:25,0,0,0,0
